batch_id,microbatch_id,sequence,target_count,budget_not_kpi,generation_assignment_id,canonical_cluster_refs
batch_005,batch_005_mb_004,4,40,true,GA-005,mkc_008|mkc_022|mkc_024|mkc_025|mkc_039|mkc_040|mkc_041|mkc_042
batch_005,batch_005_mb_005,5,40,true,GA-005,mkc_008|mkc_022|mkc_024|mkc_025|mkc_039|mkc_040|mkc_041|mkc_042
batch_005,batch_005_mb_006,6,40,true,GA-005,mkc_008|mkc_022|mkc_024|mkc_025|mkc_039|mkc_040|mkc_041|mkc_042
batch_006,batch_006_mb_001,1,40,true,GA-006,mkc_015|mkc_016|mkc_036
batch_006,batch_006_mb_002,2,40,true,GA-006,mkc_015|mkc_016|mkc_036
batch_006,batch_006_mb_003,3,40,true,GA-006,mkc_015|mkc_016|mkc_036
batch_006,batch_006_mb_004,4,40,true,GA-006,mkc_015|mkc_016|mkc_036
batch_006,batch_006_mb_005,5,40,true,GA-006,mkc_015|mkc_016|mkc_036
batch_006,batch_006_mb_006,6,40,true,GA-006,mkc_015|mkc_016|mkc_036
batch_007,batch_007_mb_001,1,40,true,GA-007,mkc_007|mkc_008|mkc_012|mkc_013|mkc_014|mkc_037|mkc_038
batch_007,batch_007_mb_002,2,40,true,GA-007,mkc_007|mkc_008|mkc_012|mkc_013|mkc_014|mkc_037|mkc_038
batch_007,batch_007_mb_003,3,40,true,GA-007,mkc_007|mkc_008|mkc_012|mkc_013|mkc_014|mkc_037|mkc_038
batch_007,batch_007_mb_004,4,40,true,GA-007,mkc_007|mkc_008|mkc_012|mkc_013|mkc_014|mkc_037|mkc_038
batch_007,batch_007_mb_005,5,40,true,GA-007,mkc_007|mkc_008|mkc_012|mkc_013|mkc_014|mkc_037|mkc_038
batch_007,batch_007_mb_006,6,40,true,GA-007,mkc_007|mkc_008|mkc_012|mkc_013|mkc_014|mkc_037|mkc_038
batch_008,batch_008_mb_001,1,40,true,GA-008,mkc_013|mkc_014|mkc_017|mkc_018|mkc_043|mkc_044
batch_008,batch_008_mb_002,2,40,true,GA-008,mkc_013|mkc_014|mkc_017|mkc_018|mkc_043|mkc_044
batch_008,batch_008_mb_003,3,40,true,GA-008,mkc_013|mkc_014|mkc_017|mkc_018|mkc_043|mkc_044
batch_008,batch_008_mb_004,4,40,true,GA-008,mkc_013|mkc_014|mkc_017|mkc_018|mkc_043|mkc_044
batch_008,batch_008_mb_005,5,40,true,GA-008,mkc_013|mkc_014|mkc_017|mkc_018|mkc_043|mkc_044
batch_008,batch_008_mb_006,6,40,true,GA-008,mkc_013|mkc_014|mkc_017|mkc_018|mkc_043|mkc_044
batch_009,batch_009_mb_001,1,40,true,GA-009,mkc_007|mkc_008|mkc_012|mkc_025|mkc_028|mkc_029|mkc_017|mkc_018|mkc_039|mkc_040|mkc_043|mkc_044
batch_009,batch_009_mb_002,2,40,true,GA-009,mkc_007|mkc_008|mkc_012|mkc_025|mkc_028|mkc_029|mkc_017|mkc_018|mkc_039|mkc_040|mkc_043|mkc_044
batch_009,batch_009_mb_003,3,40,true,GA-009,mkc_007|mkc_008|mkc_012|mkc_025|mkc_028|mkc_029|mkc_017|mkc_018|mkc_039|mkc_040|mkc_043|mkc_044
batch_009,batch_009_mb_004,4,40,true,GA-009,mkc_007|mkc_008|mkc_012|mkc_025|mkc_028|mkc_029|mkc_017|mkc_018|mkc_039|mkc_040|mkc_043|mkc_044
batch_009,batch_009_mb_005,5,40,true,GA-009,mkc_007|mkc_008|mkc_012|mkc_025|mkc_028|mkc_029|mkc_017|mkc_018|mkc_039|mkc_040|mkc_043|mkc_044
batch_009,batch_009_mb_006,6,40,true,GA-009,mkc_007|mkc_008|mkc_012|mkc_025|mkc_028|mkc_029|mkc_017|mkc_018|mkc_039|mkc_040|mkc_043|mkc_044
batch_010,batch_010_mb_001,1,40,true,GA-010,mkc_010|mkc_011|mkc_013|mkc_014|mkc_015|mkc_016|mkc_033|mkc_034|mkc_035
batch_010,batch_010_mb_002,2,40,true,GA-010,mkc_010|mkc_011|mkc_013|mkc_014|mkc_015|mkc_016|mkc_033|mkc_034|mkc_035
batch_010,batch_010_mb_003,3,40,true,GA-010,mkc_010|mkc_011|mkc_013|mkc_014|mkc_015|mkc_016|mkc_033|mkc_034|mkc_035
batch_010,batch_010_mb_004,4,40,true,GA-010,mkc_010|mkc_011|mkc_013|mkc_014|mkc_015|mkc_016|mkc_033|mkc_034|mkc_035
batch_010,batch_010_mb_005,5,40,true,GA-010,mkc_010|mkc_011|mkc_013|mkc_014|mkc_015|mkc_016|mkc_033|mkc_034|mkc_035
batch_010,batch_010_mb_006,6,40,true,GA-010,mkc_010|mkc_011|mkc_013|mkc_014|mkc_015|mkc_016|mkc_033|mkc_034|mkc_035
batch_011,batch_011_mb_001,1,40,true,GA-011,mkc_010|mkc_011|mkc_017|mkc_018|mkc_023|mkc_024|mkc_025|mkc_030|mkc_031|mkc_032|mkc_036|mkc_045|mkc_046
batch_011,batch_011_mb_002,2,40,true,GA-011,mkc_010|mkc_011|mkc_017|mkc_018|mkc_023|mkc_024|mkc_025|mkc_030|mkc_031|mkc_032|mkc_036|mkc_045|mkc_046
batch_011,batch_011_mb_003,3,40,true,GA-011,mkc_010|mkc_011|mkc_017|mkc_018|mkc_023|mkc_024|mkc_025|mkc_030|mkc_031|mkc_032|mkc_036|mkc_045|mkc_046
batch_011,batch_011_mb_004,4,40,true,GA-011,mkc_010|mkc_011|mkc_017|mkc_018|mkc_023|mkc_024|mkc_025|mkc_030|mkc_031|mkc_032|mkc_036|mkc_045|mkc_046
batch_011,batch_011_mb_005,5,40,true,GA-011,mkc_010|mkc_011|mkc_017|mkc_018|mkc_023|mkc_024|mkc_025|mkc_030|mkc_031|mkc_032|mkc_036|mkc_045|mkc_046
batch_011,batch_011_mb_006,6,40,true,GA-011,mkc_010|mkc_011|mkc_017|mkc_018|mkc_023|mkc_024|mkc_025|mkc_030|mkc_031|mkc_032|mkc_036|mkc_045|mkc_046
batch_011,batch_011_mb_007,7,40,true,GA-011,mkc_010|mkc_011|mkc_017|mkc_018|mkc_023|mkc_024|mkc_025|mkc_030|mkc_031|mkc_032|mkc_036|mkc_045|mkc_046
batch_011,batch_011_mb_008,8,40,true,GA-011,mkc_010|mkc_011|mkc_017|mkc_018|mkc_023|mkc_024|mkc_025|mkc_030|mkc_031|mkc_032|mkc_036|mkc_045|mkc_046
batch_011,batch_011_mb_009,9,40,true,GA-011,mkc_010|mkc_011|mkc_017|mkc_018|mkc_023|mkc_024|mkc_025|mkc_030|mkc_031|mkc_032|mkc_036|mkc_045|mkc_046
batch_012,batch_012_mb_001,1,40,true,GA-012,mkc_012|mkc_025|mkc_028|mkc_029|mkc_030|mkc_032|mkc_033|mkc_034|mkc_036|mkc_038
batch_012,batch_012_mb_002,2,40,true,GA-012,mkc_012|mkc_025|mkc_028|mkc_029|mkc_030|mkc_032|mkc_033|mkc_034|mkc_036|mkc_038
batch_012,batch_012_mb_003,3,40,true,GA-012,mkc_012|mkc_025|mkc_028|mkc_029|mkc_030|mkc_032|mkc_033|mkc_034|mkc_036|mkc_038
batch_012,batch_012_mb_004,4,40,true,GA-012,mkc_012|mkc_025|mkc_028|mkc_029|mkc_030|mkc_032|mkc_033|mkc_034|mkc_036|mkc_038
batch_012,batch_012_mb_005,5,40,true,GA-012,mkc_012|mkc_025|mkc_028|mkc_029|mkc_030|mkc_032|mkc_033|mkc_034|mkc_036|mkc_038
batch_012,batch_012_mb_006,6,40,true,GA-012,mkc_012|mkc_025|mkc_028|mkc_029|mkc_030|mkc_032|mkc_033|mkc_034|mkc_036|mkc_038
batch_012,batch_012_mb_007,7,40,true,GA-012,mkc_012|mkc_025|mkc_028|mkc_029|mkc_030|mkc_032|mkc_033|mkc_034|mkc_036|mkc_038
batch_012,batch_012_mb_008,8,40,true,GA-012,mkc_012|mkc_025|mkc_028|mkc_029|mkc_030|mkc_032|mkc_033|mkc_034|mkc_036|mkc_038
batch_012,batch_012_mb_009,9,40,true,GA-012,mkc_012|mkc_025|mkc_028|mkc_029|mkc_030|mkc_032|mkc_033|mkc_034|mkc_036|mkc_038
batch_013,batch_013_mb_001,1,40,true,GA-013,mkc_007|mkc_008|mkc_015|mkc_016|mkc_019|mkc_034|mkc_035|mkc_037|mkc_038|mkc_041|mkc_042
batch_013,batch_013_mb_002,2,40,true,GA-013,mkc_007|mkc_008|mkc_015|mkc_016|mkc_019|mkc_034|mkc_035|mkc_037|mkc_038|mkc_041|mkc_042
batch_013,batch_013_mb_003,3,40,true,GA-013,mkc_007|mkc_008|mkc_015|mkc_016|mkc_019|mkc_034|mkc_035|mkc_037|mkc_038|mkc_041|mkc_042
batch_013,batch_013_mb_004,4,40,true,GA-013,mkc_007|mkc_008|mkc_015|mkc_016|mkc_019|mkc_034|mkc_035|mkc_037|mkc_038|mkc_041|mkc_042
batch_013,batch_013_mb_005,5,40,true,GA-013,mkc_007|mkc_008|mkc_015|mkc_016|mkc_019|mkc_034|mkc_035|mkc_037|mkc_038|mkc_041|mkc_042
batch_013,batch_013_mb_006,6,40,true,GA-013,mkc_007|mkc_008|mkc_015|mkc_016|mkc_019|mkc_034|mkc_035|mkc_037|mkc_038|mkc_041|mkc_042
batch_013,batch_013_mb_007,7,40,true,GA-013,mkc_007|mkc_008|mkc_015|mkc_016|mkc_019|mkc_034|mkc_035|mkc_037|mkc_038|mkc_041|mkc_042
batch_013,batch_013_mb_008,8,40,true,GA-013,mkc_007|mkc_008|mkc_015|mkc_016|mkc_019|mkc_034|mkc_035|mkc_037|mkc_038|mkc_041|mkc_042
batch_013,batch_013_mb_009,9,40,true,GA-013,mkc_007|mkc_008|mkc_015|mkc_016|mkc_019|mkc_034|mkc_035|mkc_037|mkc_038|mkc_041|mkc_042
batch_013,batch_013_mb_010,10,20,true,GA-013,mkc_007|mkc_008|mkc_015|mkc_016|mkc_019|mkc_034|mkc_035|mkc_037|mkc_038|mkc_041|mkc_042
batch_014,batch_014_mb_001,1,40,true,GA-014,mkc_001|mkc_002|mkc_003|mkc_004|mkc_005|mkc_006|mkc_010|mkc_011|mkc_019|mkc_020|mkc_026|mkc_027|mkc_035|mkc_038|mkc_045|mkc_046
batch_014,batch_014_mb_002,2,40,true,GA-014,mkc_001|mkc_002|mkc_003|mkc_004|mkc_005|mkc_006|mkc_010|mkc_011|mkc_019|mkc_020|mkc_026|mkc_027|mkc_035|mkc_038|mkc_045|mkc_046
batch_014,batch_014_mb_003,3,40,true,GA-014,mkc_001|mkc_002|mkc_003|mkc_004|mkc_005|mkc_006|mkc_010|mkc_011|mkc_019|mkc_020|mkc_026|mkc_027|mkc_035|mkc_038|mkc_045|mkc_046
batch_014,batch_014_mb_004,4,40,true,GA-014,mkc_001|mkc_002|mkc_003|mkc_004|mkc_005|mkc_006|mkc_010|mkc_011|mkc_019|mkc_020|mkc_026|mkc_027|mkc_035|mkc_038|mkc_045|mkc_046
batch_014,batch_014_mb_005,5,40,true,GA-014,mkc_001|mkc_002|mkc_003|mkc_004|mkc_005|mkc_006|mkc_010|mkc_011|mkc_019|mkc_020|mkc_026|mkc_027|mkc_035|mkc_038|mkc_045|mkc_046
batch_014,batch_014_mb_006,6,40,true,GA-014,mkc_001|mkc_002|mkc_003|mkc_004|mkc_005|mkc_006|mkc_010|mkc_011|mkc_019|mkc_020|mkc_026|mkc_027|mkc_035|mkc_038|mkc_045|mkc_046
